Nom,Sous Secteur,P/E,PER_sec,Borne_inf,Borne_sup
COVIVIO HOTELS,Fonds de placement immobilier,47.38,37.36,3.7359999999999993,70.984
SELECTIRENTE,Fonds de placement immobilier,16.85,37.36,3.7359999999999993,70.984
LANSON-BCC,Boissons,9.35,18.97,1.8969999999999996,36.043
SANOFI,Produits pharmaceutiques et biotechnologie,27.87,19.96,1.9959999999999996,37.924
GETLINK SE,Transport industriel,24.81,31.87,3.1869999999999994,60.553
TFF GROUP,Industrie générale,11.73,13.01,1.3009999999999997,24.718999999999998
HERIGE,Construction et Matériel,3.17,27.41,2.740999999999999,52.079
ZCI LIMITED,Métaux industriels et mines,2.58,25.56,2.555999999999999,48.56399999999999
ROUGIER S.A.,Materiel industriel,4.63,16.78,1.6779999999999997,31.882
SCOR SE,Assurance non vie,18.2,12.64,1.2639999999999998,24.016
BIGBEN INTERACTIVE,Biens de Loisirs,2.58,9.08,0.9079999999999998,17.252
CHAUSSERIA,Biens personnels,7.33,26.58,2.657999999999999,50.501999999999995
DELTA PLUS GROUP,Biens personnels,15.16,26.58,2.657999999999999,50.501999999999995
GROUPE JAJ,Biens personnels,10.9,26.58,2.657999999999999,50.501999999999995
L'OREAL,Biens personnels,28.84,26.58,2.657999999999999,50.501999999999995
1000MERCIS,Media,16.55,15.11,1.5109999999999997,28.708999999999996
KLARSEN,Media,10.47,15.11,1.5109999999999997,28.708999999999996
VIVENDI SE,Media,27.25,15.11,1.5109999999999997,28.708999999999996
RUBIS,Détaillants,8.32,56.56,5.655999999999999,107.464
AYVENS,Sevices aux consommateurs,9.55,9.55,0.9549999999999998,18.145
